orders,completed_orders,canceled_orders,date,active_users,weekday,is_weekend
11,4,7,2026-02-19,9,486,false
6,4,2,2026-02-20,5,219,true
7,3,4,2026-02-21,4,202,true
10,1,9,2026-02-22,4,267,false
37,11,26,2026-02-23,12,273,false
8,4,4,2026-02-24,6,174,false
12,4,8,2026-02-25,6,190,false
22,8,14,2026-02-26,10,129,false
5,3,2,2026-02-27,2,119,true
3,0,3,2026-02-28,3,117,true
5,1,4,2026-03-01,4,125,false
7,2,5,2026-03-02,5,139,false
1,0,1,2026-03-03,1,148,false
11,2,9,2026-03-04,9,1061,false
4,1,3,2026-03-05,3,823,false
7,3,4,2026-03-06,5,696,true
4,1,3,2026-03-07,4,673,true
24,4,20,2026-03-08,10,637,false
7,6,1,2026-03-09,6,699,false
18,7,11,2026-03-10,12,703,false
12,3,9,2026-03-11,8,509,false
5,3,2,2026-03-12,5,498,false
5,3,2,2026-03-13,4,567,true
15,3,12,2026-03-14,7,490,true
20,5,15,2026-03-15,9,482,false
54,10,44,2026-03-16,25,321,false
183,19,164,2026-03-17,57,1067,false
44,12,32,2026-03-18,29,487,false
59,17,42,2026-03-19,36,563,false
39,14,25,2026-03-20,22,384,true
39,16,23,2026-03-21,31,385,true
31,14,17,2026-03-22,20,331,false
18,11,7,2026-03-23,9,325,false
12,2,10,2026-03-24,6,335,false
38,10,28,2026-03-25,21,385,false
34,12,22,2026-03-26,19,273,false
13,5,8,2026-03-27,8,244,true
15,4,11,2026-03-28,9,256,true
26,6,18,2026-03-29,11,367,false
16,1,14,2026-03-30,6,378,false






