studytime,score
7.9656,81.7934
4.9499,54.0713
8.7274,81.8414
7.2763,76.5404
1.8476,28.4921
9.7806,95.3040
7.8503,76.2208
8.0746,76.3563
2.1530,24.2646
5.0535,56.9805
4.3372,46.4238
9.3409,86.4212
6.7948,65.8152
8.4049,82.2335
4.9907,49.1889
3.0451,39.4499
5.9913,63.5109
1.5744,25.5766
8.4487,81.1347
6.6850,68.0954
7.8228,77.3347
4.1907,47.1197
9.7363,88.6028
9.0381,85.9818
8.0055,73.4625
2.7517,33.3298
5.2005,52.5028
1.3942,18.2962
2.3886,26.3372
7.1474,71.6297
7.7029,72.1802
9.7076,96.7657
3.9324,44.2363
4.3341,45.3089
5.2260,55.3302
2.7052,28.2226
2.1693,33.0246
5.2813,54.7145
3.0422,38.6859
7.0283,65.5681
4.9344,51.8087
8.4941,82.1070
7.3024,76.4485
3.8113,43.1133
8.4903,81.9028
8.2429,77.7342
4.4873,46.4578
3.5950,40.7638
7.1425,70.1000
2.2578,24.4072
2.7992,37.0559
1.0663,23.0248
8.0823,75.1022
6.9837,69.9015
7.3465,68.5309
8.0266,79.9482
5.1302,51.4194
6.1187,63.6029
2.2582,31.4644
2.0308,29.9480
7.0156,65.7102
5.2399,58.6990
6.0871,59.0427
7.8850,72.3965
6.7125,67.6045
5.9822,59.5580
6.0329,64.5772
3.7356,44.8347
1.2774,19.0290
4.9305,56.4379
2.9313,32.8249
4.6768,49.9030
8.6806,81.3450
3.1055,40.7568
1.5247,19.6062
3.5325,35.4750
3.6423,40.3109
6.9572,74.0604
6.0133,65.0297
8.0551,80.9543
6.9788,73.2279
4.6575,53.5231
8.3262,80.9611
2.5028,29.4327
1.2044,22.9576
1.8104,27.0053
7.5012,72.4971
5.1569,49.7783
2.4514,33.3052
5.5094,54.4545
2.3708,34.5200
7.2669,69.1782
5.0154,48.8585
4.4292,50.9593
3.7136,38.0985
6.6725,63.5093
4.2563,47.1725
1.7888,28.9508
2.0621,24.4918
9.6571,90.1884


